State,Time,Altitude,HDOP,Latitude,Longitude,Speed,RSSI,SNR
Floating,15:22:55.00,9117,0,32.2648,35.8035,63km/h,-110,7.000000
Floating,15:23:25.00,9175,0,32.2654,35.8092,64km/h,-109,7.000000
Floating,15:23:55.00,9234,0,32.2660,35.8148,64km/h,-110,7.000000
Floating,15:24:25.00,9284,0,32.2666,35.8204,63km/h,-109,7.000000
Floating,15:24:55.00,9343,0,32.2671,35.8259,66km/h,-108,7.000000
Floating,15:25:25.00,9386,0,32.2676,35.8314,65km/h,-107,11.000000
Floating,15:25:55.00,9437,0,32.2680,35.8367,57km/h,-107,8.000000
Floating,15:26:25.00,9493,0,32.2684,35.8420,58km/h,-107,7.000000
Floating,15:26:55.00,,,,,,-106,7.000000
,,,,,,,,11.000000
Floating,,,,,,,,7.000000
Floating,15:28:25.00,9703,0,32.2698,35.8627,61km/h,-108,11.000000
Floating,15:28:55.00,9762,1,32.2703,35.8681,59km/h,-107,11.000000
Floating,15:29:25.00,9807,,32.2708,35.8734,59km/h,-109,11.000000
Floating,15:29:55.00,9862,0,32.2714,35.8786,57km/h,-108,7.000000
Floating,15:30:25.00,9924,0,32.2723,35.8837,57km/h,-107,12.000000
Floating,15:30:55.00,9984,0,32.2729,35.8890,58km/h,-107,7.000000
Floating,15:31:25.00,10044,0,32.2737,35.8942,59km/h,-108,7.000000
Floating,15:31:55.00,10108,0,32.2743,35.8993,59km/h,-110,7.000000
Floating,15:32:25.00,10163,0,32.2751,35.9044,60km/h,-108,7.000000
Floating,15:32:55.00,10232,0,32.2755,35.9095,58km/h,-110,11.000000
Floating,15:33:25.00,10290,1,32.2762,35.9145,60km/h,-109,7.000000
Floating,15:33:55.00,10344,0,32.2769,35.9199,60km/h,-110,7.000000
Floating,15:34:25.00,10410,0,32.2777,35.9249,58km/h,-108,7.000000
Floating,15:34:55.00,10468,0,32.2784,35.9300,57km/h,-108,7.000000
Floating,15:35:25.00,10516,0,32.2793,35.9349,53km/h,-110,7.000000
Floating,15:35:55.00,10568,0,32.2801,35.9397,53km/h,-108,8.000000
Floating,15:36:25.00,10631,0,32.2810,35.9444,55km/h,-109,7.000000
Floating,15:36:55.00,10675,0,32.2820,35.9488,53km/h,-108,7.000000
Floating,15:37:25.00,10717,0,32.2830,35.9532,54km/h,-108,7.000000
Floating,15:37:55.00,10748,0,32.2842,35.9579,54km/h,-108,11.000000
Floating,15:38:25.00,10765,0,32.2852,35.9624,55km/h,-110,7.000000
Floating,15:38:55.00,10809,0,32.2863,35.9672,50km/h,-110,11.000000
Floating,15:39:25.00,10861,0,32.2873,35.9719,56km/h,-108,11.000000
Floating,15:39:55.00,10918,1,32.2876,35.9765,56km/h,-107,7.000000
Floating,15:40:25.00,10970,1,32.2884,35.9812,55km/h,-107,7.000000
Floating,15:40:55.00,11035,0,32.2892,35.9857,51km/h,-110,11.000000
Floating,15:41:25.00,11102,0,32.2901,35.9903,53km/h,-109,7.000000
Floating,15:41:55.00,11144,0,32.2907,35.9947,48km/h,-109,7.000000
Floating,15:42:25.00,11178,0,32.2913,35.9991,53km/h,-109,11.000000
Floating,15:42:55.00,11229,0,32.2919,36.0038,51km/h,-105,7.000000
